m,basis,n_dof,kappa_M_raw,kappa_K_raw,kappa_M_massnorm,kappa_K_massnorm,kappa_K_equilibrated,cholesky_ok,kappa_A_transformed,Lam_fp64,backward_error,Lam_highprec,highprec_path,Lam_absdiff_rel
2,monomial_raw,12,1.1082702931859005e+17,1.0708064584699862e+16,7.43745103742027e+16,1.181826439857718e+16,1.2745965983882234e+16,True,5987250.851682689,124.7119138999791,1.0066369997151314e-15,124.71191390136978,cholesky,1.1151207689621613e-11
2,monomial_orthonormalized,12,2.169615405754276,8709427.159755295,2.149834193201268,10942666.305524671,544.9764814963733,True,8427995.606961323,124.71191390611538,1.0808473303417022e-17,124.7119139050752,cholesky,8.34064436318137e-12
2,shifted_legendre,12,1160655.5935580817,45225.755446021976,3230277.4761258126,380.3321524881797,445.6023015451468,True,8427995.758704964,124.71191390218814,1.115192347330141e-13,124.71191390507569,cholesky,2.3153731762499393e-11
2,integrated_legendre,12,434041775.4076175,640.7912473701475,115647.68065826107,81476.30199939574,12.423786101510883,True,8427995.758501478,124.71191390436528,4.505022745986115e-13,124.71191390507579,cholesky,5.6972448886597654e-12
2,chebyshev,12,1326161.764359999,105096.06116751446,1245486.4772417685,145.56114157945228,154.43180288861552,True,8427995.758630602,124.71191390377201,2.6383377907079614e-14,124.71191390507569,cholesky,1.0453495171724269e-11
2,bspline_p3,11,22.835738181459092,45981.924812306024,19.402029852071188,67247.74937704076,29981.152700129132,True,564309.8746457347,124.71629111855445,8.086864875407302e-16,124.71629111937777,cholesky,6.601543963425481e-12
2,radial_hermite_fem,80,3625666.647454619,133130179.28002033,29.17299554003553,86131100.87535727,11728409.18990954,True,652438501.7509084,124.7119300012206,7.418032178475387e-16,124.71193071495229,cholesky,5.723042615883286e-09
2,monomial_raw,16,5.910426777615363e+17,1.2540081278954778e+18,5.6548835338728704e+17,8.739366031340552e+17,2.4503023205547205e+19,False,nan,nan,nan,-9829919.794653883,general_pencil,nan
2,monomial_orthonormalized,16,2.2459579421506217,67597070.20532602,2.233049318178227,85290240.67862165,1665.1767799279578,True,64136887.09716369,124.71191391855979,1.4021184645894897e-17,124.71191390470193,cholesky,1.1111895127089308e-10
2,shifted_legendre,16,5799153.769254457,258576.93292285874,17382448.225590006,1145.3864645273145,1486.7277077727917,True,64138239.121571675,124.7119139016791,4.6424082302620684e-14,124.71191390470163,cholesky,2.4236137642754877e-11
2,integrated_legendre,16,4284091673.2719316,895.708310344673,546608.6967212157,279501.1250843127,12.42378610168556,True,64138239.10456221,124.71191389843376,4.133890101548146e-12,124.71191390470167,cholesky,5.02591167011532e-11
2,chebyshev,16,6502812.876925531,633472.5352017522,5729048.147460699,330.6669356701534,388.334359734017,True,64138239.11638092,124.71191389136821,8.63780498734747e-14,124.71191390470165,cholesky,1.0691387450528586e-10
2,bspline_p3,15,23.512207245113583,159651.86738058025,19.551753736476595,255879.72825925134,88699.85145746531,True,2146525.3246375592,124.71305411137548,3.282765097763271e-16,124.71305410767998,cholesky,2.9632057152477973e-11
2,radial_hermite_fem,80,3625666.647454619,133130179.28002033,29.17299554003553,86131100.87535727,11728409.18990954,True,652438501.7509084,124.7119300012206,7.418032178475387e-16,124.71193071495229,cholesky,5.723042615883286e-09
3,monomial_raw,6,1867911832.6897235,10638219.892911265,1501329183.179512,12715432.769337988,9916840.120009616,True,42833.46164556075,242.1502579363812,3.4299764880695175e-16,242.15025793637477,cholesky,2.6526118064094882e-14
3,monomial_orthonormalized,6,1.8641737665354592,41576.09150271129,1.82126106490205,51127.269340198305,65.35498031779099,True,42833.461122350636,242.1502579363984,2.2097223128625542e-17,242.15025793637855,cholesky,8.192579826875193e-14
3,shifted_legendre,6,29491.701750891953,859.1999138479001,59710.68572605976,33.691818327608615,34.57688115590287,True,42833.46112239715,242.15025793634808,8.450469650332294e-15,242.1502579363787,cholesky,1.2640986351783063e-13
3,integrated_legendre,6,2260223.325526223,373.6771864292989,3122.7823149672367,2025.4551182588843,10.081825611662449,True,42833.461122348424,242.15025793636525,4.941500397924101e-15,242.15025793637858,cholesky,5.504756359318718e-14
3,chebyshev,6,34174.71076546961,1605.5519330057414,35287.188182910366,21.11599741932527,20.1100820345319,True,42833.46112226115,242.15025793635112,4.728680053718063e-15,242.15025793637867,cholesky,1.1373366550490057e-13
3,bspline_p3,5,18.314429161603638,910.1454691186307,16.75245068167506,987.9281455208505,833.5198731882633,True,7989.859862503052,242.50097636595132,1.169159417620104e-15,242.50097636614373,cholesky,7.934606108691064e-13
3,radial_hermite_fem,80,3625666.647454619,74781601.63013616,29.17299554003553,44365312.04921389,6042569.0575741185,True,336040998.1560452,242.14300586989157,8.042791449154054e-16,242.14300563582822,cholesky,9.666327111975535e-10
