m,basis,n_dof,cholesky_ok,seconds,e_lam_mode1,e_lam_mode2,e_lam_mode3,e_lam_mode4
3,chebyshev,12,True,0.000670204870402813,6.243802525238418e-12,1.7300646301823197e-12,1.9641606329625537e-10,1.2739495626798334e-07
3,bspline_p3,11,True,0.0017906471621245146,4.7850746406821805e-05,0.00013600326318382209,0.0006430025540480663,0.002561073945403123
3,radial_hermite_fem,80,True,0.05364017398096621,1.8411947113912868e-07,5.203355932944919e-07,2.28667532658539e-06,7.963834061634386e-06
3,monomial_raw,16,False,0.0007001559715718031,nan,nan,nan,nan
3,monomial_orthonormalized,16,True,0.0005308140534907579,2.2623704512258747e-11,7.934950105585207e-11,2.3317914353940536e-11,6.29205595900057e-12
3,shifted_legendre,16,True,0.001391225028783083,5.023176985230675e-11,1.588226814811695e-10,1.224733794872379e-11,1.6413250236654467e-12
3,integrated_legendre,16,True,0.0019378778524696827,9.065198416579962e-11,2.585956244271705e-10,6.506559979095973e-12,1.089462813215032e-12
3,chebyshev,16,True,0.0011044901330024004,4.97351530935083e-11,1.7009356072241412e-10,1.6019146972675166e-11,7.170074936526174e-13
3,bspline_p3,15,True,0.003367919009178877,1.2508995691846103e-05,3.541845369626913e-05,0.000160759550802881,0.0006006681645446931
3,radial_hermite_fem,80,True,0.13722992781549692,1.8411947113912868e-07,5.203355932944919e-07,2.28667532658539e-06,7.963834061634386e-06
4,monomial_raw,6,True,0.0002665428910404444,4.047025999740308e-05,0.0002539555325035858,0.0008800695915900905,0.08998461220941095
4,monomial_orthonormalized,6,True,0.0002276790328323841,4.047025981987239e-05,0.00025395553139553585,0.0008800695978611365,0.0899846108600015
4,shifted_legendre,6,True,0.00037401379086077213,4.047025990004086e-05,0.00025395553207625273,0.0008800695978897752,0.08998461086008855
4,integrated_legendre,6,True,0.0006036767736077309,4.04702598542599e-05,0.0002539555316410612,0.0008800695978558272,0.08998461086013619
4,chebyshev,6,True,0.0003471660893410444,4.047025986751773e-05,0.0002539555317914349,0.0008800695978833394,0.08998461085998924
4,bspline_p3,5,True,0.0006330681499093771,0.0012542291384991667,0.005019307066255362,0.032210085043711645,0.04994924032371892
4,radial_hermite_fem,80,True,0.04549074708484113,1.7134563957720705e-07,6.214170570079094e-07,2.323941460291336e-06,7.761983508293855e-06
4,monomial_raw,8,True,0.0004999979864805937,6.650952329412355e-07,1.7031524796241317e-06,6.932542439981917e-06,0.003115220371199164
4,monomial_orthonormalized,8,True,0.0005254379939287901,6.650968564045304e-07,1.7031608366185669e-06,6.9330325243886155e-06,0.0031152273427019423
4,shifted_legendre,8,True,0.0005469419993460178,6.650973220859757e-07,1.7031647030055009e-06,6.9330325493267105e-06,0.003115227342431578
4,integrated_legendre,8,True,0.0008320759516209364,6.6509751266735e-07,1.7031646231460475e-06,6.933032470811934e-06,0.003115227342376663
4,chebyshev,8,True,0.00043542194180190563,6.650970001691758e-07,1.7031620007400119e-06,6.93303230654229e-06,0.0031152273422038823
4,bspline_p3,7,True,0.0008829240687191486,0.00031051957742163073,0.0011631543827348642,0.0055080115196991485,0.025617138455055203
4,radial_hermite_fem,80,True,0.1271795539651066,1.7134563957720705e-07,6.214170570079094e-07,2.323941460291336e-06,7.761983508293855e-06
4,monomial_raw,10,True,0.00026035099290311337,7.594792269815572e-09,2.7711065041421552e-08,9.266888033733506e-08,2.607771720038824e-05
4,monomial_orthonormalized,10,True,0.00024967780336737633,7.560050113874281e-09,2.7639251852858444e-08,9.280514530579259e-08,2.615685260842787e-05
4,shifted_legendre,10,True,0.000610284972935915,7.559728197074453e-09,2.763615857339745e-08,9.280519341218214e-08,2.6156852695870637e-05
4,integrated_legendre,10,True,0.0010206189472228289,7.562702302283676e-09,2.764912851321927e-08,9.280778729583562e-08,2.6156853097877742e-05
4,chebyshev,10,True,0.0005427820142358541,7.559106114609921e-09,2.7631179888706077e-08,9.28050275336282e-08,2.6156852836697494e-05
4,bspline_p3,9,True,0.0012717698700726032,0.00010561002554061594,0.00038969193142689363,0.0016304139980789678,0.006717636124195668
4,radial_hermite_fem,80,True,0.0510327210649848,1.7134563957720705e-07,6.214170570079094e-07,2.323941460291336e-06,7.761983508293855e-06
4,monomial_raw,12,True,0.0002811029553413391,7.05198730681281e-11,3.873374636238946e-11,8.828928669916596e-10,2.0268607553833925e-07
4,monomial_orthonormalized,12,True,0.0002775341272354126,6.621936292370677e-11,2.307564389115864e-10,6.349213223893535e-10,1.694768541186736e-07
4,shifted_legendre,12,True,0.0007654200308024883,6.550468276964832e-11,2.2346607791882435e-10,6.372609983655847e-10,1.6947641939228273e-07
